AUAL-R
CEMDL-R
RMFL-R
ALML-R
SAADL-R
HSNL-R
URAVL-R
AWCL-R
PVWL-R
AVJL-R
R9AL-R
PVQL-R
ASKL-R
URADL-R
SMDVL-R
SMBDL-R
AVHL-R
ASEL-R
IL2DL-R
PHDL-R
AVEL-R
RIFL-R
PCCL-R
AIYL-R
RMHL-R
PVNL-R
SPVL-R
RMEL-R
R7AL-R
SIBDL-R
RIGL-R
AFDL-R
CEPVL-R
RMGL-R
SAAVL-R
PHAL-R
BDUL-R
MCML-R
PLNL-R
SPDL-R
OLLL-R
PCBL-R
ADLL-R
OLQDL-R
PVCL-R
PHCL-R
ASHL-R
AVDL-R
IL1DL-R
SABVL-R
R5BL-R
CEPDL-R
AIZL-R
R4AL-R
SIAVL-R
R3BL-R
ASIL-R
R5AL-R
IL2VL-R
R6BL-R
ALNL-R
IL1VL-R
RIAL-R
SMBVL-R
IL1L-R
AWAL-R
RICL-R
R2BL-R
LUAL-R
AIAL-R
PDEL-R
FLPL-R
SIBVL-R
RMDL-R
R6AL-R
AVBL-R
ASGL-R
URXL-R
PVPL-R
PHBL-R
AVAL-R
SPCL-R
RIVL-R
AINL-R
URYDL-R
AIML-R
ASJL-R
CEMVL-R
R4BL-R
RMDDL-R
RMDVL-R
R8AL-R
IL2L-R
R7BL-R
AVKL-R
R2AL-R
R1AL-R
PLML-R
SMDDL-R
R3AL-R
URBL-R
SIADL-R
R9BL-R
AIBL-R
SDQL-R
ADFL-R
ADAL-R
ADEL-R
AWBL-R
RIBL-R
R8BL-R
RIPL-R
RIML-R
R1BL-R
URYVL-R
AVFL-R
PVDL-R
OLQVL-R
BAGL-R
PCAL-R
