Source,Target,weight
IL2R,OLLR,1
IL2R,OLQDR,1
IL2R,OLQVR,1
IL2R,IL1R,1
IL2R,IL1VR,1
IL2R,RIH,1
IL2R,URBR,1
IL2R,RIBR,1
IL2R,RICL,1
IL2R,RICR,1
IL2R,RMEL,1
IL2R,RMDR,1
IL2R,SMBVR,1
IL2VL,CEPVL,1
IL2VL,OLQVL,1
IL2VL,IL1VL,1
IL2VL,RIH,1
IL2VL,RIAL,1
IL2VL,RIPL,1
IL2VL,URAVL,1
IL2VL,RMEL,1
IL2VL,RMER,1
IL2VL,RMED,1
IL2VL,RMEV,1
IL2VL,CEMVL,1
IL2VR,CEPVR,1
IL2VR,OLQVR,1
IL2VR,IL1VR,1
IL2VR,RIH,1
IL2VR,RIPR,1
IL2VR,URAVR,1
IL2VR,RMEL,1
IL2VR,RMER,1
IL2VR,RMED,1
CEPDL,OLQDL,1
CEPDL,IL1DL,1
CEPDL,IL1L,1
CEPDL,RIH,1
CEPDL,URBL,1
CEPDL,RMGL,1
CEPDL,RICR,1
CEPDL,AVEL,1
CEPDL,AVAR,1
CEPDL,RMDR,1
CEPDL,RMHL,1
CEPDL,RMHR,1
CEPDL,SMDDL,1
CEPDL,SMBDR,1
CEPDL,SIADR,1
CEPDL,CEMDL,1
CEPDR,OLLR,1
CEPDR,OLQDR,1
CEPDR,IL1DR,1
CEPDR,RIH,1
CEPDR,URBR,1
CEPDR,RIBR,1
CEPDR,RICL,1
CEPDR,RICR,1
CEPDR,AVEL,1
CEPDR,RIPR,1
CEPDR,URADR,1
CEPDR,RMHL,1
CEPDR,SMBDL,1
CEPDR,SIAVR,1
CEPDR,CEMDR,1
CEPVL,OLQVL,1
CEPVL,IL1VL,1
CEPVL,AINR,1
CEPVL,AIML,1
CEPVL,RIH,1
CEPVL,RICL,1
CEPVL,RICR,1
CEPVL,AVAR,1
CEPVL,RIPL,1
CEPVL,URAVL,1
CEPVL,RIVR,1
CEPVL,RMHL,1
CEPVL,RMHR,1
CEPVL,SIAVL,1
CEPVL,CEMVL,1
CEPVR,OLLR,1
CEPVR,OLQVR,1
CEPVR,IL1VR,1
CEPVR,AINL,1
CEPVR,RIH,1
CEPVR,RIS,1
CEPVR,PVR,1
CEPVR,RIBR,1
CEPVR,RICL,1
CEPVR,RICR,1
CEPVR,RIAR,1
CEPVR,AVEL,1
CEPVR,AVER,1
CEPVR,RIPR,1
CEPVR,URAVR,1
CEPVR,RMDDR,1
CEPVR,RMHL,1
CEPVR,RMHR,1
CEPVR,SMDDR,1
CEPVR,SMDVL,1
CEPVR,SIAVR,1
CEPVR,CEMVR,1
CEPVR,MCMR,1
URYDR,RMFR,1
URYDR,CEMDR,1
URYVL,ADAL,1
URYVL,RID,1
URYVR,RIGR,1
OLLL,IL1DL,1
OLLL,IL1L,1
OLLL,IL1VL,1
OLLL,URBL,1
OLLL,RIBL,1
OLLL,AVER,1
OLLL,RMDDL,1
OLLL,RMDL,1
OLLL,RMDR,1
OLLL,RMDVL,1
OLLL,SMDDL,1
OLLL,SMDDR,1
OLLL,SMDVR,1
OLLR,IL1R,1
OLLR,IL1VR,1
OLLR,RIBR,1
OLLR,RIGR,1
OLLR,RMGR,1
OLLR,AVEL,1
OLLR,RMER,1
OLLR,RMDDR,1
OLLR,RMDR,1
OLLR,RMDVR,1
OLLR,SMDVL,1
OLQDL,OLQDL,1
OLQDL,IL1DL,1
OLQDL,RIH,1
OLQDL,RICR,1
OLQDL,RMDDR,1
OLQDL,SMBDR,1
OLQDL,SIBVL,1
OLQDR,RIH,1
OLQDR,RICL,1
OLQDR,RICR,1
OLQDR,RIAR,1
OLQDR,RIPR,1
OLQDR,RMDDL,1
OLQDR,RMDVR,1
OLQDR,SIBVR,1
OLQVL,IL1VL,1
OLQVL,RIGL,1
OLQVL,RICL,1
OLQVL,RIAL,1
OLQVL,RMDVR,1
OLQVL,RMHL,1
OLQVL,SIBDL,1
OLQVR,IL1VR,1
OLQVR,RIH,1
OLQVR,AVFR,1
OLQVR,RIGR,1
OLQVR,RICR,1
OLQVR,RMER,1
OLQVR,RMDVL,1
OLQVR,SMBVR,1
OLQVR,SIBDR,1
IL1DL,RIAL,1
IL1DL,RIPL,1
IL1DL,RMDVL,1
IL1DL,SMBDR,1
IL1DR,IL1R,1
IL1DR,RIPR,1
IL1DR,RMDVR,1
IL1L,RMER,1
IL1L,RMDDL,1
IL1L,RMDL,1
IL1L,RMDR,1
IL1L,RMDVL,1
IL1L,RMHR,1
IL1R,RIH,1
IL1R,RIBR,1
IL1R,RMEL,1
IL1R,RMDDL,1
IL1R,RMDDR,1
IL1R,RMDVL,1
IL1R,RMDVR,1
IL1R,RMHL,1
IL1VL,RIGL,1
IL1VL,AIBR,1
IL1VL,RIAL,1
IL1VL,RIPL,1
IL1VL,URAVL,1
IL1VL,RMDDL,1
IL1VL,RMDVR,1
IL1VR,RIPR,1
IL1VR,RMER,1
IL1VR,RMDDR,1
IL1VR,SMDVL,1
AINL,AUAR,1
AINL,CEMVR,1
AINR,AIYL,1
AINR,AIAL,1
AINR,AUAL,1
AINR,ADAL,1
AINR,RIBL,1
AINR,RIGL,1
AINR,AIBL,1
AINR,RIAL,1
AINR,AVEL,1
AIML,AIAL,1
AIML,PVQL,1
AIML,AIBL,1
AIML,RICL,1
AIML,RID,1
AIMR,AIAR,1
AIMR,AIBR,1
RIH,RIH,1
RIH,AIYL,1
RIH,AIYR,1
RIH,AUAR,1
RIH,AIZL,1
RIH,AIZR,1
RIH,RIS,1
RIH,RIBR,1
RIH,RIAL,1
RIH,RIAR,1
RIH,AVEL,1
RIH,RIPR,1
RIH,URAVR,1
RIH,RMEV,1
RIH,SMDVL,1
RIH,CEMVR,1
URBL,RMER,1
URBL,RMDDR,1
URBL,RMDL,1
URBR,RMGR,1
RIR,AIYL,1
RIR,AUAR,1
RIR,AIZL,1
RIR,AIZR,1
RIR,AVHR,1
RIR,RIGL,1
RIR,RIGR,1
RIR,RIAL,1
RIR,RIAR,1
RIR,AVEL,1
AIYL,AIAL,1
AIYL,AUAL,1
AIYL,AIZL,1
AIYL,AIZR,1
AIYL,RIFL,1
AIYL,RIBL,1
AIYL,RIAL,1
AIYL,RIAR,1
AIYL,CEMVL,1
AIYR,AIAR,1
AIYR,AIZR,1
AIYR,RIBR,1
AIYR,RIAR,1
AIYR,SIBDR,1
AIAL,AIAL,1
AIAL,AIZL,1
AIAL,PVQL,1
AIAL,RIFL,1
AIAL,AIBL,1
AIAL,CEMVL,1
AIAR,AIZR,1
AIAR,PVQR,1
AIAR,AVHR,1
AIAR,AIBR,1
AUAL,RIBL,1
AUAL,RIAL,1
AUAL,AVEL,1
AUAL,AVAL,1
AUAR,AVHR,1
AUAR,RIBR,1
AUAR,RIAR,1
AIZL,AIBR,1
AIZL,AVKR,1
AIZL,RIAL,1
AIZL,RIAR,1
AIZL,RIML,1
AIZL,AVER,1
AIZL,SMBDL,1
AIZL,SMBVL,1
AIZL,SMBVR,1
AIZR,AIZR,1
AIZR,AIBL,1
AIZR,AVKR,1
AIZR,RIAR,1
AIZR,RIMR,1
AIZR,AVEL,1
AIZR,SMBDL,1
AIZR,SMBDR,1
AIZR,SMBVL,1
AIZR,SMBVR,1
RIS,RIS,1
RIS,RIBL,1
RIS,RIBR,1
RIS,AVKL,1
RIS,AVKR,1
RIS,AVL,1
RIS,RIML,1
RIS,RIMR,1
RIS,AVEL,1
RIS,AVER,1
RIS,RMED,1
RIS,RMEV,1
RIS,RMDL,1
RIS,RMDR,1
RIS,RMDVL,1
RIS,RIVR,1
RIS,SMDDR,1
RIS,SMBVR,1
ALA,AVEL,1
ALA,AVER,1
PVQL,AVFL,1
PVQL,AVBL,1
PVQL,DVF,1
PVQL,CA05,1
PVQR,AVFR,1
PVQR,AVG,1
PVQR,AVJR,1
PVQR,PDA,1
PVQR,PDB,1
PVQR,VD13,1
PVQR,MCMR,1
PVQR,R2AL,1
PVQR,DVF,1
PVQR,EF01,1
PVQR,EF02,1
PVQR,EF03,1
PVQR,CA05,1
PVQR,CP05,1
ADAL,RIFL,1
ADAL,RIBL,1
ADAL,RIGL,1
ADAL,AIBL,1
ADAL,RICR,1
ADAL,SAADL,1
ADAL,DVC,1
ADAL,AVJL,1
ADAL,AVL,1
ADAL,RIAL,1
ADAL,RIML,1
ADAL,RMFL,1
ADAL,AVBL,1
ADAL,RIPL,1
ADAL,MCML,1
RIFL,AVFL,1
RIFL,AVFR,1
RIFL,PVPL,1
RIFL,AIBL,1
RIFL,RIML,1
RIFL,AVBL,1
RIFL,AVBR,1
RIFL,SMBVL,1
RIFL,SIBVL,1
RIFL,MCML,1
RIFR,RIFR,1
RIFR,AVFR,1
RIFR,AVHR,1
RIFR,PVPR,1
RIFR,RIMR,1
RIFR,AVEL,1
RIFR,AVBL,1
RIFR,AVBR,1
RIFR,MCMR,1
RIFR,EF01,1
RIFR,EF02,1
RIFR,EF03,1
BDUL,SAADL,1
BDUL,MCML,1
BDUR,RMGR,1
BDUR,MCMR,1
PVR,LUAR,1
PVR,AVBR,1
PVR,PVCL,1
PVR,RIPR,1
PVR,SABD,1
PVR,DA06,1
PVR,DA08,1
PVR,DB04,1
PVR,DB06,1
PVR,R4AR,1
PVR,R9BL,1
AVFL,AVFR,1
AVFL,PVPL,1
AVFL,PVPR,1
AVFL,LUAR,1
AVFL,PVNL,1
AVFL,PVNR,1
AVFL,AVG,1
AVFL,AVDR,1
AVFL,RIML,1
AVFL,AVBL,1
AVFL,AVBR,1
AVFL,AVAR,1
AVFL,PVCR,1
AVFL,DA09,1
AVFL,VA12,1
AVFL,CEMVL,1
AVFL,MCML,1
AVFL,R1AL,1
AVFL,R1BR,1
AVFL,R3BL,1
AVFL,R3BR,1
AVFL,R5BR,1
AVFL,R6BL,1
AVFL,R6BR,1
AVFL,R7BL,1
AVFL,R7BR,1
AVFL,R8AR,1
AVFL,R9AR,1
AVFL,R9BL,1
AVFL,PCAR,1
AVFL,PVV,1
AVFL,PVX,1
AVFL,PVY,1
AVFL,EF01,1
AVFL,EF02,1
AVFR,AVHL,1
AVFR,PVPL,1
AVFR,LUAL,1
AVFR,LUAR,1
AVFR,PVNL,1
AVFR,PVNR,1
AVFR,AVDL,1
AVFR,AVL,1
AVFR,PVWL,1
AVFR,AVBR,1
AVFR,AVAR,1
AVFR,PVCL,1
AVFR,DA08,1
AVFR,AS11,1
AVFR,VA12,1
AVFR,VD13,1
AVFR,CEMVR,1
AVFR,MCML,1
AVFR,MCMR,1
AVFR,R1BR,1
AVFR,R3AL,1
AVFR,R3BL,1
AVFR,R3BR,1
AVFR,R4AR,1
AVFR,R5BR,1
AVFR,R7AL,1
AVFR,R7BL,1
AVFR,R7BR,1
AVFR,R9AL,1
AVFR,PVV,1
AVFR,PVX,1
AVFR,PVY,1
AVFR,DX01,1
AVFR,EF01,1
AVFR,EF02,1
AVFR,EF03,1
AVHL,PVPL,1
AVHL,AVG,1
AVHL,RICL,1
AVHL,AVDR,1
AVHL,SABD,1
AVHL,SMBVL,1
AVHL,SIAVL,1
AVHL,PDB,1
AVHL,MCML,1
AVHL,PCAR,1
AVHL,DVF,1
AVHL,CA07,1
AVHR,PVPR,1
AVHR,AVG,1
AVHR,AVJL,1
AVHR,SMBVR,1
AVHR,PDB,1
AVHR,R3BR,1
AVHR,PCAR,1
AVHR,CA07,1
AVHR,CA09,1
PVPL,PVNL,1
PVPL,PVNR,1
PVPL,DVB,1
PVPL,AVKR,1
PVPL,DVC,1
PVPL,AVDR,1
PVPL,AVER,1
PVPL,AVBL,1
PVPL,AVBR,1
PVPL,AVAR,1
PVPL,MCML,1
PVPL,SPDL,1
PVPL,SPDR,1
PVPL,SPVL,1
PVPL,SPVR,1
PVPL,DVF,1
PVPL,CP05,1
PVPR,PVNR,1
PVPR,RIGR,1
PVPR,AIBL,1
PVPR,AVKR,1
PVPR,AVBL,1
PVPR,AVBR,1
PVPR,SMBVR,1
PVPR,MCMR,1
PVPR,R1BR,1
PVPR,EF03,1
LUAL,LUAR,1
LUAL,PVNL,1
LUAL,AVDR,1
LUAL,PVWL,1
LUAL,AVAR,1
LUAL,PVCL,1
LUAL,AS11,1
LUAL,PDB,1
LUAL,R3BL,1
LUAL,R5BR,1
LUAL,R6BR,1
LUAL,R9AL,1
LUAL,R9BL,1
LUAR,AVDR,1
LUAR,AVAR,1
LUAR,PVCR,1
LUAR,DB07,1
LUAR,R1BR,1
LUAR,R6BR,1
LUAR,R9BR,1
PVNL,PVNL,1
PVNL,AVG,1
PVNL,AVDL,1
PVNL,AVDR,1
PVNL,AVL,1
PVNL,AVBL,1
PVNL,AVBR,1
PVNL,AVAL,1
PVNL,AVAR,1
PVNL,AS11,1
PVNL,PDB,1
PVNL,VD13,1
PVNL,R1BR,1
PVNL,R2BL,1
PVNL,R2BR,1
PVNL,R3AL,1
PVNL,R3BL,1
PVNL,R3BR,1
PVNL,R4BL,1
PVNL,R4BR,1
PVNL,R5BR,1
PVNL,R6BL,1
PVNL,R7BL,1
PVNL,R7BR,1
PVNL,R8BL,1
PVNL,R8BR,1
